food,era,pair,Protein,Total lipid (fat),"Fiber, total dietary","Iron, Fe","Zinc, Zn","Magnesium, Mg","Calcium, Ca","Potassium, K","Phosphorus, P","Vitamin C, total ascorbic acid","Vitamin A, RAE",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, total",Vitamin B-12,"Selenium, Se","Manganese, Mn","Copper, Cu","Fatty acids, total omega-3"
venison,ancient,venison,20.2,25.1,0.0,2.43,3.79,19.0,17.0,287.0,189.0,0.0,7.0,0.47,1.0,0.407,0.283,7.27,0.378,5.0,1.75,10.5,,0.095,
"beef, ground, 80% lean",modern,venison,17.17,20.0,0.0,1.94,4.18,17.0,18.0,270.0,158.0,0.0,4.0,0.17,1.8,0.043,0.151,4.227,0.323,7.0,2.14,15.0,0.01,0.061,
bison,ancient,bison,25.2,8.55,0.0,3.16,5.3,23.0,14.0,350.0,211.0,0.0,0.0,0.2,1.3,0.138,0.262,5.92,0.398,16.0,2.42,30.9,,0.15,
"beef, ground, 90% lean",modern,bison,20.0,10.0,0.0,2.24,4.79,20.0,12.0,321.0,184.0,0.0,4.0,0.17,0.8,0.042,0.151,5.072,0.369,6.0,2.21,16.6,0.01,0.072,
wild boar,ancient,wild boar,21.51,3.33,0.0,,,,12.0,,120.0,0.0,0.0,,,0.39,0.11,4.0,,,,9.8,,,
"pork, ground",modern,wild boar,26.9,21.2,0.0,1.15,2.52,22.0,20.0,342.0,219.0,0.0,0.0,0.44,0.0,0.349,0.458,8.5,0.531,4.0,0.96,43.2,,0.038,
rabbit,ancient,rabbit,30.1,8.34,0.0,2.35,2.35,20.0,20.0,298.0,224.0,0.0,0.0,0.44,1.6,0.06,0.169,7.1,0.337,9.0,6.46,38.2,,0.175,
"chicken, breast, raw",modern,rabbit,22.525,1.934,,0.3543,0.6545,26.2,3.939,330.1,214.9,,,,,,,,,,,,0.0,0.003638,
elk,ancient,elk,22.95,1.45,0.0,2.76,2.4,23.0,4.0,312.0,161.0,0.0,0.0,,,,,,,,,9.8,0.012,0.12,
"beef, sirloin, raw",modern,elk,21.975,5.708,,2.224,3.453,22.08,3.701,349.4,193.1,,,,,,,,,,,,0.001563,0.07023,
quail,ancient,quail,25.0,14.0,0.0,4.41,3.09,22.0,15.0,215.0,278.0,2.3,70.0,0.7,4.2,0.219,0.299,7.89,0.617,6.0,0.36,21.7,,0.59,
"chicken, whole, raw",modern,quail,12.4,9.96,0.0,1.67,1.24,11.0,48.0,132.0,184.0,0.0,180.0,1.05,0.3,0.077,0.419,0.0,0.063,71.0,1.02,31.1,,0.0,
wild salmon,ancient,wild salmon,19.84,6.34,0.0,0.8,0.64,29.0,12.0,490.0,200.0,0.0,12.0,,,0.226,0.38,7.86,0.818,25.0,3.18,36.5,0.016,0.25,
