food,era,pair,Protein,Total lipid (fat),"Fiber, total dietary","Iron, Fe","Zinc, Zn","Magnesium, Mg","Calcium, Ca","Potassium, K","Phosphorus, P","Vitamin C, total ascorbic acid","Vitamin A, RAE",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, total",Vitamin B-12,"Selenium, Se","Manganese, Mn","Copper, Cu","Fatty acids, total omega-3",Protein_pct_rda,Total lipid (fat)_pct_rda,"Fiber, total dietary_pct_rda","Iron, Fe_pct_rda","Zinc, Zn_pct_rda","Magnesium, Mg_pct_rda","Calcium, Ca_pct_rda","Potassium, K_pct_rda","Phosphorus, P_pct_rda","Vitamin C, total ascorbic acid_pct_rda","Vitamin A, RAE_pct_rda",Vitamin E (alpha-tocopherol)_pct_rda,Vitamin K (phylloquinone)_pct_rda,Thiamin_pct_rda,Riboflavin_pct_rda,Niacin_pct_rda,Vitamin B-6_pct_rda,"Folate, total_pct_rda",Vitamin B-12_pct_rda,"Selenium, Se_pct_rda","Manganese, Mn_pct_rda","Copper, Cu_pct_rda","Fatty acids, total omega-3_pct_rda",micro_density_score,macro_density_score
venison,ancient,venison,20.2,25.1,0.0,2.43,3.79,19.0,17.0,287.0,189.0,0.0,7.0,0.47,1.0,0.407,0.283,7.27,0.378,5.0,1.75,10.5,,0.095,,40.4,38.61538461538462,0.0,13.5,34.45454545454545,4.523809523809524,1.3076923076923077,6.1063829787234045,15.120000000000001,0.0,0.7777777777777778,3.1333333333333333,0.8333333333333334,33.916666666666664,21.769230769230766,45.4375,22.235294117647058,1.25,72.91666666666667,19.090909090909093,,10.555555555555555,,16.15414197767847,39.50769230769231
"beef, ground, 80% lean",modern,venison,17.17,20.0,0.0,1.94,4.18,17.0,18.0,270.0,158.0,0.0,4.0,0.17,1.8,0.043,0.151,4.227,0.323,7.0,2.14,15.0,0.01,0.061,,34.34,30.76923076923077,0.0,10.777777777777779,37.99999999999999,4.0476190476190474,1.3846153846153846,5.74468085106383,12.64,0.0,0.4444444444444444,1.1333333333333333,1.5000000000000002,3.5833333333333335,11.615384615384615,26.418750000000003,19.0,1.7500000000000002,89.16666666666667,27.27272727272727,0.43478260869565216,6.777777777777777,,13.084594655671959,32.55461538461539
bison,ancient,bison,25.2,8.55,0.0,3.16,5.3,23.0,14.0,350.0,211.0,0.0,0.0,0.2,1.3,0.138,0.262,5.92,0.398,16.0,2.42,30.9,,0.15,,50.4,13.153846153846155,0.0,17.555555555555557,48.18181818181818,5.476190476190476,1.0769230769230769,7.446808510638298,16.88,0.0,0.0,1.3333333333333335,1.0833333333333335,11.500000000000002,20.153846153846153,37.0,23.411764705882355,4.0,100.0,56.18181818181818,,16.666666666666664,,19.36568727242135,31.776923076923076
"beef, ground, 90% lean",modern,bison,20.0,10.0,0.0,2.24,4.79,20.0,12.0,321.0,184.0,0.0,4.0,0.17,0.8,0.042,0.151,5.072,0.369,6.0,2.21,16.6,0.01,0.072,,40.0,15.384615384615385,0.0,12.444444444444445,43.54545454545455,4.761904761904762,0.9230769230769231,6.829787234042553,14.719999999999999,0.0,0.4444444444444444,1.1333333333333333,0.6666666666666667,3.5000000000000004,11.615384615384615,31.7,21.705882352941178,1.5,92.08333333333334,30.181818181818183,0.43478260869565216,7.999999999999999,,14.30951567227703,27.692307692307693
wild boar,ancient,wild boar,21.51,3.33,0.0,,,,12.0,,120.0,0.0,0.0,,,0.39,0.11,4.0,,,,9.8,,,,43.02,5.1230769230769235,0.0,,,,0.9230769230769231,,9.6,0.0,0.0,,,32.5,8.46153846153846,25.0,,,,17.81818181818182,,,,10.478088578088578,24.071538461538463
"pork, ground",modern,wild boar,26.9,21.2,0.0,1.15,2.52,22.0,20.0,342.0,219.0,0.0,0.0,0.44,0.0,0.349,0.458,8.5,0.531,4.0,0.96,43.2,,0.038,,53.79999999999999,32.61538461538461,0.0,6.388888888888888,22.90909090909091,5.238095238095238,1.5384615384615385,7.276595744680852,17.52,0.0,0.0,2.933333333333333,0.0,29.083333333333332,35.23076923076923,53.125,31.23529411764706,1.0,40.0,78.54545454545455,,4.222222222222222,,17.697186268525115,43.2076923076923
rabbit,ancient,rabbit,30.1,8.34,0.0,2.35,2.35,20.0,20.0,298.0,224.0,0.0,0.0,0.44,1.6,0.06,0.169,7.1,0.337,9.0,6.46,38.2,,0.175,,60.199999999999996,12.830769230769231,0.0,13.055555555555557,21.363636363636367,4.761904761904762,1.5384615384615385,6.340425531914893,17.919999999999998,0.0,0.0,2.933333333333333,1.3333333333333335,5.0,13.0,44.375,19.823529411764707,2.25,100.0,69.45454545454545,,19.444444444444443,,18.031272090994445,36.51538461538461
"chicken, breast, raw",modern,rabbit,22.525,1.934,,0.3543,0.6545,26.2,3.939,330.1,214.9,,,,,,,,,,,,0.0,0.003638,,45.05,2.9753846153846153,,1.9683333333333335,5.949999999999999,6.238095238095238,0.303,7.023404255319149,17.192,,,,,,,,,,,,0.0,0.4042222222222222,,4.884881881121243,24.012692307692305
elk,ancient,elk,22.95,1.45,0.0,2.76,2.4,23.0,4.0,312.0,161.0,0.0,0.0,,,,,,,,,9.8,0.012,0.12,,45.9,2.230769230769231,0.0,15.333333333333332,21.818181818181817,5.476190476190476,0.3076923076923077,6.6382978723404245,12.879999999999999,0.0,0.0,,,,,,,,,17.81818181818182,0.5217391304347827,13.333333333333334,,7.843912507474024,24.065384615384616
"beef, sirloin, raw",modern,elk,21.975,5.708,,2.224,3.453,22.08,3.701,349.4,193.1,,,,,,,,,,,,0.001563,0.07023,,43.95,8.781538461538462,,12.355555555555558,31.39090909090909,5.257142857142857,0.28469230769230774,7.434042553191489,15.448,,,,,,,,,,,,0.06795652173913044,7.803333333333333,,10.00520402744547,26.36576923076923
